Time[s],Load[kN]
7.6321e-05,-0.0012
0.000188348,-0.0013
0.000237962,-0.0013
0.000276502,-0.0013
0.000312598,-0.0013
0.000350248,-0.0013
0.000385788,-0.0013
0.000421439,-0.0012
0.000456812,-0.0012
0.000494629,-0.0012
0.000531873,-0.0012
0.000567802,-0.0012
0.000604675,-0.0012
0.000640696,-0.0012
0.000676606,-0.0012
0.000712646,-0.0012
0.000748278,-0.0013
0.000785132,-0.0013
0.000810894,-0.0013
0.000833284,-0.0013
0.000855267,-0.0013
0.000877547,-0.0012
0.000899196,-0.0012
0.00092092,-0.0012
0.000942662,-0.0012
0.000964479,-0.0012
0.000986703,-0.0013
0.00100989,-0.0013
0.00103261,-0.0013
0.0010558,-0.0013
0.00107869,-0.0013
0.00110132,-0.0013
0.00112423,-0.0013
0.0011516,-0.0012
0.00117501,-0.0011
0.00119798,-0.0011
0.0163396,-0.0012
0.0163906,-0.0012
0.0164294,-0.0012
0.0164671,-0.0011
0.016505,-0.0011
0.0165425,-0.0012
0.0166145,-0.0013
0.0166537,-0.0013
0.0166912,-0.0014
0.0167282,-0.0013
0.0167652,-0.0013
0.0168018,-0.0012
0.0168388,-0.0012
0.0168758,-0.0013
0.0169125,-0.0013
0.0169491,-0.0014
0.0169863,-0.0014
0.0170229,-0.0013
0.0170608,-0.0012
0.0170976,-0.0011
0.0171342,-0.0011
0.0171709,-0.0012
0.0172075,-0.0012
0.0172441,-0.0012
0.0172811,-0.0012
0.017318,-0.0012
0.0173554,-0.0013
0.0174242,-0.0013
0.0174628,-0.0013
0.0175305,-0.0012
0.0175686,-0.0012
0.0176058,-0.0012
0.0176431,-0.0012
0.0176816,-0.0012
0.0177187,-0.0012
0.074158,-0.0012
0.0741998,-0.0012
0.0742356,-0.0012
0.0742714,-0.0013
0.0743091,-0.0013
0.0743453,-0.0013
0.0743827,-0.0012
0.07442,-0.0011
0.0744562,-0.0011
0.0744925,-0.0012
0.0745322,-0.0012
0.074568,-0.0013
0.074603,-0.0013
0.0746381,-0.0013
0.0746736,-0.0013
0.0747087,-0.0012
0.0747439,-0.0012
0.0747805,-0.0012
0.074816,-0.0012
0.0748513,-0.0012
0.0748866,-0.0012
0.0749218,-0.0011
0.0749537,-0.0012
0.0749772,-0.0012
0.0749992,-0.0012
0.0750211,-0.0013
0.0750432,-0.0013
0.0750655,-0.0012
0.0750882,-0.0012
0.0751104,-0.0012
0.0751324,-0.0012
0.0751548,-0.0012
0.0751771,-0.0012
0.0751993,-0.0012
0.0752217,-0.0012
0.0752439,-0.0011
0.133101,-0.0011
0.133142,-0.0012
0.133178,-0.0012
0.133213,-0.0013
0.133249,-0.0013
0.133284,-0.0013
0.133319,-0.0013
0.133354,-0.0013
0.133425,-0.0013
0.133462,-0.0013
0.133498,-0.0012
0.133533,-0.0012
0.133569,-0.0012
0.133604,-0.0013
0.133639,-0.0013
0.133674,-0.0013
0.133709,-0.0013
0.133745,-0.0012
0.13378,-0.0012
0.133816,-0.0012
0.133851,-0.0012
0.133886,-0.0012
0.133957,-0.0012
0.133993,-0.0011
0.134028,-0.0011
0.134063,-0.0012
0.134101,-0.0012
0.134137,-0.0013
0.134173,-0.0013
0.134208,-0.0013
0.134244,-0.0012
0.13428,-0.0013
0.134316,-0.0013
0.134352,-0.0013
0.134388,-0.0013
0.192004,-0.0012
0.19205,-0.0012
0.192086,-0.0012
0.192122,-0.0012
0.192158,-0.0012
0.192193,-0.0012
0.192229,-0.0011
0.192265,-0.0011
0.192302,-0.0011
0.192338,-0.0012
0.192373,-0.0013
0.192408,-0.0013
0.192443,-0.0013
0.192479,-0.0012
0.192514,-0.0012
0.192549,-0.0012
0.192584,-0.0012
0.19262,-0.0012
0.192655,-0.0012
0.192691,-0.0012
0.192726,-0.0012
0.192761,-0.0012
0.192798,-0.0012
0.192834,-0.0012
0.192869,-0.0012
0.192904,-0.0012
0.19294,-0.0012
0.192976,-0.0012
0.193012,-0.0012
0.193048,-0.0012
0.193084,-0.0012
0.19312,-0.0012
0.193155,-0.0012
0.193191,-0.0011
0.193227,-0.0011
0.251241,-0.0011
0.25127,-0.0012
0.251293,-0.0012
0.251314,-0.0013
0.251336,-0.0013
0.251358,-0.0013
0.251379,-0.0012
0.251401,-0.0013
0.251423,-0.0013
0.251444,-0.0013
0.251466,-0.0013
0.251487,-0.0012
0.251509,-0.0012
0.25153,-0.0012
0.251552,-0.0012
0.251574,-0.0012
0.251595,-0.0012
0.251617,-0.0011
0.251638,-0.0011
0.25166,-0.0011
0.251682,-0.0012
0.251703,-0.0012
0.251725,-0.0013
0.251746,-0.0013
0.251769,-0.0013
0.251791,-0.0012
0.251812,-0.0012
0.251835,-0.0013
0.251857,-0.0013
0.25188,-0.0013
0.251902,-0.0012
0.251924,-0.0012
0.251946,-0.0012
0.251969,-0.0012
0.251991,-0.0012
0.252013,-0.0012
0.31016,-0.0012
0.310208,-0.0013
0.310246,-0.0013
0.310283,-0.0012
0.310318,-0.0012
0.310354,-0.0012
0.310389,-0.0012
0.310424,-0.0012
0.310459,-0.0012
0.310495,-0.0012
0.31053,-0.0012
0.310565,-0.0012
0.310601,-0.0012
0.310636,-0.0011
0.310671,-0.0011
